ID;Nome Oficial;UF;Participacoes_SerieA;Rebaixamentos;Media_Pontos;Aproveitamento(%);Ultimo_Ano_SerieA;Media_Pontos_Ult3anos;Posicao_Media_Ult3anos;Compras_Total_R$;Vendas_Total_R$;Saldo_Transferencias_R$;Participacoes_Internacionais;Pos_1;Pos_2;Pos_3;Pos_4;Pos_5;Pos_6;Pos_7;Pos_8;Pos_9;Pos_10;Pos_11;Pos_12;Pos_13;Pos_14;Pos_15;Pos_16;Pos_17;Pos_18;Pos_19;Pos_20
1;América Mineiro;MG;5;3;39.6;34.74;2023.0;43.33;12.67;0.0;142550400.0;142550400.0;2;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;2
2;Atlético Goianiense;GO;5;3;41.0;35.96;2024.0;39.67;15.33;0.0;47950800.0;47950800.0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;1
3;Atlético Mineiro;MG;10;0;55.3;48.51;2024.0;57.0;7.33;0.0;1102112000.0;1102112000.0;9;1;1;2;1;0;1;1;0;1;0;0;1;1;0;0;0;0;0;0;0
4;Athletico Paranaense;PR;10;1;53.6;47.02;2024.0;52.0;10.33;0.0;1420482000.0;1420482000.0;8;0;0;0;0;1;2;1;1;1;1;1;0;0;1;0;0;1;0;0;0
5;Avaí;SC;4;4;35.0;30.7;2022.0;32.67;19.0;0.0;53909000.0;53909000.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
6;Bahia;BA;7;1;47.29;41.48;2024.0;46.67;14.0;0.0;307848600.0;307848600.0;4;0;0;0;0;0;0;0;1;0;0;2;1;0;1;0;1;0;1;0;0
7;Botafogo;RJ;8;1;53.62;47.04;2024.0;65.33;5.67;0.0;1256380400.0;1256380400.0;6;1;0;0;0;2;0;0;0;1;1;1;0;0;0;1;0;0;0;0;1
8;Ceará;CE;5;1;44.4;38.95;2022.0;46.33;13.0;0.0;165633000.0;165633000.0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;1;1;0;0;0
9;Chapecoense;SC;6;2;32.0;28.07;2021.0;30.33;17.67;0.0;88598000.0;88598000.0;2;0;0;0;0;0;0;0;1;0;0;1;0;0;2;0;0;0;0;1;1
10;CSA;AL;1;1;32.0;28.07;2019.0;32.0;18.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
