ID;Clube_ID;Tipo;Origem_Destino;Valor;Empréstimo;Ano
1;5;Saída;Aparecidense;0.00;Não;2015
2;10;Saída;Portimonense;0.00;Sim;2015
3;6;Entrada;FC Sion;0.00;Não;2015
4;6;Saída;Chicago;0.00;Não;2015
5;1;Entrada;América-RN;0.00;Não;2015
6;1;Saída;Linense;0.00;Não;2015
7;13;Entrada;Linense;0.00;Não;2015
8;27;Entrada;EC Vitória;0.00;Não;2015
9;27;Saída;Júbilo Iwata;0.00;Sim;2015
10;35;Saída;Paraná;0.00;Não;2015
11;32;Saída;Yokohama F. M.;0.00;Sim;2015
12;15;Entrada;Ponte Preta;0.00;Sim;2015
13;15;Saída;Ponte Preta;0.00;Sim;2015
14;28;Entrada;Penapolense;0.00;Sim;2015
15;28;Entrada;Cuiabá-MT;0.00;Sim;2015
16;28;Saída;Ituano;0.00;Não;2015
17;28;Saída;Cuiabá-MT;0.00;Sim;2015
18;23;Entrada;Juventude U20;0.00;Não;2015
19;29;Entrada;Tombense;0.00;Sim;2015
20;29;Saída;Tombense;0.00;Sim;2015
21;28;Saída;Bragantino;0.00;Não;2015
22;29;Entrada;Ponte Preta;0.00;Não;2015
23;5;Entrada;Grêmio;0.00;Não;2015
24;21;Entrada;EC Vitória;0.00;Sim;2015
25;21;Saída;Avaí FC;0.00;Não;2015
26;21;Saída;EC Vitória;0.00;Sim;2015
27;35;Entrada;Grêmio;0.00;Sim;2015
28;35;Saída;Grêmio;0.00;Sim;2015
29;2;Saída;EC Bahia;0.00;Não;2015
30;6;Entrada;Atlético-GO;0.00;Não;2015
31;6;Saída;Without Club;0.00;Não;2015
32;6;Entrada;Conquista-BA;0.00;Não;2015
33;19;Entrada;XV Piracicaba;0.00;Não;2015
34;19;Saída;Mirassol-SP;0.00;Não;2015
35;25;Entrada;Fortaleza;0.00;Não;2015
36;27;Entrada;Atlético-PR B;0.00;Não;2015
37;17;Saída;Leeds;0.00;Sim;2015
38;33;Entrada;Sport U20;0.00;Não;2015
39;15;Entrada;CA Aichinger;0.00;Não;2015
40;10;Entrada;Botafogo-SP;0.00;Não;2015
41;10;Saída;Coimbra;0.00;Não;2015
42;22;Saída;Joinville-SC;0.00;Não;2015
43;24;Entrada;Internacional;0.00;Não;2015
44;26;Entrada;Vélez Sarsfield;18600000.00;Não;2015
45;30;Saída;1.FC Hardtberg;0.00;Não;2015
46;30;Saída;Unknown;0.00;Não;2015
47;7;Entrada;Benfica;0.00;Sim;2015
48;34;Entrada;Desp. Brasil;0.00;Sim;2015
49;18;Entrada;Arka Gdynia;0.00;Sim;2015
50;18;Entrada;Linense;0.00;Sim;2015
51;18;Saída;Arka Gdynia;0.00;Sim;2015
52;18;Saída;Linense;0.00;Sim;2015
53;35;Saída;Beira-Mar;0.00;Sim;2015
54;32;Entrada;Benfica;27900000.00;Não;2015
55;29;Entrada;Ferroviária;0.00;Sim;2015
56;22;Saída;Shakhtar D.;0.00;Sim;2015
57;26;Entrada;Shakhtar D.;0.00;Sim;2015
58;35;Entrada;ASA;0.00;Sim;2015
59;35;Saída;ASA;0.00;Sim;2015
60;35;Saída;Tokyo Verdy;0.00;Sim;2015
61;21;Saída;San Lorenzo;0.00;Sim;2015
62;11;Entrada;Santos;0.00;Não;2015
63;31;Saída;Coritiba FC;0.00;Não;2015
64;23;Entrada;Juventude B;0.00;Não;2015
65;13;Entrada;Ferroviária;0.00;Sim;2015
66;13;Saída;Ferroviária;0.00;Sim;2015
67;15;Saída;Metropolitano;0.00;Não;2015
68;17;Saída;Palmeiras;0.00;Não;2015
69;26;Entrada;Flamengo;0.00;Não;2015
70;24;Entrada;Inter B;0.00;Sim;2015
71;27;Entrada;Inter B;0.00;Sim;2015
72;27;Saída;Inter B;0.00;Sim;2015
73;28;Saída;Marseille B;0.00;Sim;2015
74;33;Entrada;The Strongest;0.00;Sim;2015
75;33;Saída;The Strongest;0.00;Não;2015
76;11;Entrada;Fluminense;0.00;Sim;2015
77;11;Saída;Fluminense;0.00;Sim;2015
78;18;Entrada;Coritiba FC;0.00;Sim;2015
79;18;Saída;Coritiba FC;0.00;Sim;2015
80;5;Saída;Nacional-PR;0.00;Sim;2015
81;9;Saída;CA Aichinger;0.00;Sim;2015
82;9;Saída;Ponte Preta;0.00;Sim;2015
83;28;Entrada;Portuguesa;0.00;Sim;2015
84;28;Entrada;Chapecoense;0.00;Sim;2015
85;28;Saída;Portuguesa;0.00;Sim;2015
86;28;Saída;CD Cruz Azul;0.00;Sim;2015
87;29;Entrada;Independente-SP;0.00;Não;2015
88;35;Saída;Santa Cruz-PE;0.00;Não;2015
89;4;Entrada;Without Club;0.00;Não;2015
90;6;Entrada;Kyoto Sanga;0.00;Não;2015
91;6;Saída;Retired;0.00;Não;2015
92;34;Entrada;Náutico;0.00;Sim;2015
93;7;Saída;Tombense;0.00;Não;2015
94;11;Saída;Retired;0.00;Não;2015
95;24;Saída;Khor Fakkan;0.00;Não;2015
96;25;Entrada;América-RN;0.00;Não;2015
97;10;Saída;ASA;0.00;Não;2015
98;8;Saída;Portuguesa;0.00;Não;2015
99;29;Saída;Mogi Mirim;0.00;Não;2015
100;2;Saída;Inter B;0.00;Sim;2015
101;24;Saída;Without Club;0.00;Não;2015
102;25;Entrada;River-PI;0.00;Não;2015
103;25;Entrada;Audax-RJ;0.00;Não;2015
104;33;Entrada;Atlético-MG B;0.00;Sim;2015
105;15;Entrada;Without Club;0.00;Não;2015
106;23;Saída;Saprissa;0.00;Não;2015
107;28;Saída;Boa Esporte;0.00;Não;2015
108;29;Saída;Tombense;0.00;Sim;2015
109;12;Entrada;São Paulo;0.00;Sim;2015
110;32;Saída;Corinthians;0.00;Sim;2015
111;28;Saída;Penapolense;0.00;Sim;2015
112;1;Entrada;Treze;0.00;Não;2015
113;25;Entrada;São Caetano;0.00;Não;2015
114;25;Saída;Shonan Bellmare;0.00;Sim;2015
115;7;Entrada;Paraná;0.00;Sim;2015
